GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5100148,160,51,,,,,,Abingdon town,8191,4271,7780,3788,2056,2091
5100180,160,51,,,,,,Accomac town,519,229,547,235,117,126
5100724,160,51,,,,,,Alberta town,298,163,306,158,77,86
5101000,160,51,,,,,,Alexandria city,139966,72376,128283,64251,30978,27749
5101256,160,51,,,,,,Allisonia CDP,117,107,,,32,
5101528,160,51,,,,,,Altavista town,3450,1669,3425,1650,928,940
5101640,160,51,,,,,,Amelia Court House CDP,1099,419,,,273,
5101672,160,51,,,,,,Amherst town,2231,1032,2251,1000,550,569
5101912,160,51,,,,,,Annandale CDP,41008,14715,54994,20243,9790,14090
5102040,160,51,,,,,,Appalachia town,1754,879,1839,891,482,515
5102064,160,51,,,,,,Apple Mountain Lake CDP,1396,501,,,355,
5102072,160,51,,,,,,Appomattox town,1733,849,1761,767,441,470
5102112,160,51,,,,,,Aquia Harbour CDP,6727,2300,7856,2622,1914,2228
5102248,160,51,,,,,,Arcola CDP,233,96,,,59,
5103208,160,51,,,,,,Arrington CDP,708,309,,,199,
5103320,160,51,,,,,,Ashburn CDP,43511,15795,,,11466,
5103368,160,51,,,,,,Ashland town,7225,2863,6619,2445,1540,1454
5103512,160,51,,,,,,Atkins CDP,1143,584,1138,571,323,330
5103528,160,51,,,,,,Atlantic CDP,862,419,,,248,
5103608,160,51,,,,,,Augusta Springs CDP,257,122,,,75,
5104088,160,51,,,,,,Bailey's Crossroads CDP,23643,9682,23166,8813,5102,4968
5104856,160,51,,,,,,Baskerville CDP,128,60,,,38,
5104872,160,51,,,,,,Bassett CDP,1100,607,1338,601,279,338
5104920,160,51,,,,,,Basye CDP,1253,1646,,,388,
5105200,160,51,,,,,,Bayside CDP,120,71,,,35,
5105336,160,51,,,,,,Bealeton CDP,4435,1549,,,1097,
5105544,160,51,,,,,,Bedford city,6222,2920,6299,2702,1592,1593
5105928,160,51,,,,,,Belle Haven CDP,6518,3240,6269,3220,1610,1571
5106216,160,51,,,,,,Bellwood CDP,6352,2705,5974,2448,1555,1598
5106275,160,51,,,,,,Belmont CDP,5966,1870,,,1615,
5106336,160,51,,,,,,Belmont Estates CDP,1263,507,,,409,
5106424,160,51,,,,,,Belspring CDP,256,121,,,69,
5106512,160,51,,,,,,Belview CDP,891,436,,,251,
5106712,160,51,,,,,,Benns Church CDP,872,361,,,239,
5106728,160,51,,,,,,Bensley CDP,5819,2381,5435,2368,1350,1408
5106968,160,51,,,,,,Berryville town,4185,1804,2963,1312,1073,783
5107160,160,51,,,,,,Bethel Manor CDP,3792,1222,,,1000,
5107400,160,51,,,,,,Big Island CDP,303,153,,,93,
5107480,160,51,,,,,,Big Stone Gap town,5614,2052,4856,2197,1194,1332
5107784,160,51,,,,,,Blacksburg town,42620,15342,39573,13732,4668,4779
5107944,160,51,,,,,,Blairs CDP,916,413,,,273,
5107976,160,51,,,,,,Bland CDP,409,222,,,115,
5108120,160,51,,,,,,Bloxom town,387,184,395,175,99,99
5108200,160,51,,,,,,Blue Ridge CDP,3084,1269,3188,1219,965,969
5108264,160,51,,,,,,Blue Ridge Shores CDP,813,566,,,231,
5108320,160,51,,,,,,Bobtown CDP,211,143,,,67,
5108675,160,51,,,,,,Boston CDP,504,229,,,128,
5108708,160,51,,,,,,Boswell's Corner CDP,1375,522,,,339,
5108984,160,51,,,,,,Boyce town,589,252,426,168,165,114
5109064,160,51,,,,,,Bracey CDP,1554,2072,,,495,
5109188,160,51,,,,,,Brambleton CDP,9845,3265,,,2541,
5109208,160,51,,,,,,Branchville town,114,52,123,56,34,36
5109248,160,51,,,,,,Brandermill CDP,13173,5747,,,3666,
5109656,160,51,,,,,,Bridgewater town,5644,2120,5203,1850,1278,1201
5109752,160,51,,,,,,Brightwood CDP,1001,409,,,295,
5109816,160,51,,,,,,Bristol city,17835,8831,17367,8469,4760,4795
5109952,160,51,,,,,,Broadlands CDP,12313,3823,,,3161,
5110040,160,51,,,,,,Broadway town,3691,1560,2192,976,1024,610
5110072,160,51,,,,,,Brodnax town,298,144,317,139,88,80
5110296,160,51,,,,,,Brookneal town,1112,567,1259,580,290,326
5110744,160,51,,,,,,Buchanan town,1178,608,1233,579,331,359
5110776,160,51,,,,,,Buckhall CDP,16293,5325,,,4261,
5110856,160,51,,,,,,Buckingham Courthouse CDP,133,72,,,37,
5111032,160,51,,,,,,Buena Vista city,6650,2936,6349,2716,1726,1749
5111230,160,51,,,,,,Bull Run CDP,14983,5946,11337,4948,3334,2711
5111245,160,51,,,,,,Bull Run Mountain Estates CDP,1251,484,,,349,
5111464,160,51,,,,,,Burke CDP,41055,13884,57737,19367,11528,15751
5111470,160,51,,,,,,Burke Centre CDP,17326,6460,,,4711,
5112136,160,51,,,,,,Callaghan CDP,348,183,,,74,
5112264,160,51,,,,,,Calverton CDP,239,119,,,61,
5112590,160,51,,,,,,Camptown CDP,766,356,,,193,
5112600,160,51,,,,,,Cana CDP,1254,624,1228,576,375,363
