GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
0100100,160,01,,,,,,Abanda CDP,192,79,,,192,,129,,58,,0,,0,,0,,2,,3,
0100124,160,01,,,,,,Abbeville city,2688,1255,2987,1353,2688,2987,1463,1692,1113,1193,2,0,26,2,0,0,53,85,31,15
0100460,160,01,,,,,,Adamsville city,4522,1990,4965,2042,4522,4965,2366,3763,2030,1133,23,20,14,7,1,1,50,8,38,33
0100484,160,01,,,,,,Addison town,758,351,723,339,758,723,751,719,1,1,0,1,1,1,0,0,0,0,5,1
0100676,160,01,,,,,,Akron town,356,205,521,239,356,521,47,93,308,422,0,0,0,0,0,0,0,0,1,6
0100820,160,01,,,,,,Alabaster city,30352,11295,22619,8594,30352,22619,24103,19839,4105,2250,124,71,271,144,10,4,1269,156,470,155
0100988,160,01,,,,,,Albertville city,21160,8128,17247,7090,21160,17247,16062,14859,405,353,170,54,97,45,30,17,3954,1687,442,232
0101132,160,01,,,,,,Alexander City city,14875,6834,15008,6855,14875,15008,9246,10589,4757,4258,35,19,139,42,2,3,561,23,135,74
0101180,160,01,,,,,,Alexandria CDP,3917,1599,3692,1467,3917,3692,3425,3265,400,360,12,10,18,22,10,4,19,9,33,22
0101228,160,01,,,,,,Aliceville city,2486,1164,2567,1092,2486,2567,563,829,1861,1708,2,3,1,8,0,0,19,0,40,19
0101396,160,01,,,,,,Allgood town,622,220,629,198,622,629,495,528,4,2,2,3,4,0,0,0,111,76,6,20
0101660,160,01,,,,,,Altoona town,933,426,984,437,933,984,894,939,16,25,2,1,2,0,0,0,2,9,17,10
0101708,160,01,,,,,,Andalusia city,9015,4356,8794,4279,9015,8794,6356,6501,2337,2152,37,32,91,24,0,2,39,16,155,67
0101756,160,01,,,,,,Anderson town,282,156,354,174,282,354,276,351,0,0,1,1,0,0,0,0,0,0,5,2
0101852,160,01,,,,,,Anniston city,23106,11599,24276,12787,23106,24276,10327,11825,11903,11821,69,66,184,189,13,18,221,148,389,209
0102116,160,01,,,,,,Arab city,8050,3693,7174,3223,8050,7174,7775,7051,8,13,50,35,59,28,6,0,60,12,92,35
0102260,160,01,,,,,,Ardmore town,1194,578,1034,506,1194,1034,1126,995,23,9,9,5,11,8,1,1,7,12,17,4
0102320,160,01,,,,,,Argo town,4071,1492,1780,726,4071,1780,3832,1759,148,3,16,1,14,1,6,1,4,0,51,15
0102428,160,01,,,,,,Ariton town,764,319,772,335,764,772,598,535,147,226,0,1,1,0,0,0,7,0,11,10
0102500,160,01,,,,,,Arley town,357,174,290,139,357,290,337,288,0,0,2,0,1,0,1,0,1,0,15,2
0102836,160,01,,,,,,Ashford town,2148,1004,1853,877,2148,1853,1696,1324,418,510,4,13,5,1,0,0,9,0,16,5
0102860,160,01,,,,,,Ashland town,2037,986,1965,975,2037,1965,1456,1449,491,497,7,0,15,2,0,0,41,4,27,13
0102908,160,01,,,,,,Ashville city,2212,888,2260,905,2212,2260,1677,1569,450,600,4,4,6,4,0,7,31,41,44,35
0102956,160,01,,,,,,Athens city,21897,9862,18967,8449,21897,18967,15976,14741,3841,3464,139,76,200,134,22,3,1297,365,422,184
0103004,160,01,,,,,,Atmore city,10194,3480,7676,3535,10194,7676,4073,3798,5672,3555,184,185,30,36,6,4,83,28,146,70
0103028,160,01,,,,,,Attalla city,6048,2841,6592,2914,6048,6592,4929,5533,771,872,24,23,29,12,2,0,173,108,120,44
0103076,160,01,,,,,,Auburn city,53380,24646,42987,20043,53380,42987,40069,33553,8834,7217,149,82,2825,1422,16,17,610,244,877,452
