GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
5100148,160,51,,,,,,Abingdon town,8191,4271,7780,3788,8191,7780,7681,7390,257,265,15,10,86,50,6,1,64,15,82,49
5100180,160,51,,,,,,Accomac town,519,229,547,235,519,547,389,389,106,135,0,0,3,14,1,0,17,5,3,4
5100724,160,51,,,,,,Alberta town,298,163,306,158,298,306,177,183,112,121,4,0,0,1,0,0,2,1,3,0
5101000,160,51,,,,,,Alexandria city,139966,72376,128283,64251,139966,128283,85186,76702,30491,28915,589,355,8432,7249,141,112,9902,9467,5225,5483
5101256,160,51,,,,,,Allisonia CDP,117,107,,,117,,107,,8,,1,,1,,0,,0,,0,
5101528,160,51,,,,,,Altavista town,3450,1669,3425,1650,3450,3425,2415,2543,891,841,5,3,20,7,0,0,35,11,84,20
5101640,160,51,,,,,,Amelia Court House CDP,1099,419,,,1099,,757,,264,,8,,7,,0,,50,,13,
5101672,160,51,,,,,,Amherst town,2231,1032,2251,1000,2231,2251,1571,1552,550,667,17,7,14,7,0,0,24,1,55,17
5101912,160,51,,,,,,Annandale CDP,41008,14715,54994,20243,41008,54994,20670,35473,3533,3224,212,165,10103,10647,53,41,4746,3266,1691,2178
5102040,160,51,,,,,,Appalachia town,1754,879,1839,891,1754,1839,1675,1732,52,84,4,5,2,3,0,0,1,7,20,8
5102064,160,51,,,,,,Apple Mountain Lake CDP,1396,501,,,1396,,1265,,20,,21,,24,,0,,40,,26,
5102072,160,51,,,,,,Appomattox town,1733,849,1761,767,1733,1761,1141,1178,540,566,8,5,3,0,0,0,5,2,36,10
5102112,160,51,,,,,,Aquia Harbour CDP,6727,2300,7856,2622,6727,7856,5704,6752,521,701,38,44,150,100,8,8,85,68,221,183
5102248,160,51,,,,,,Arcola CDP,233,96,,,233,,108,,13,,0,,72,,0,,28,,12,
5103208,160,51,,,,,,Arrington CDP,708,309,,,708,,459,,227,,1,,1,,0,,6,,14,
5103320,160,51,,,,,,Ashburn CDP,43511,15795,,,43511,,30442,,3423,,120,,6530,,23,,1272,,1701,
5103368,160,51,,,,,,Ashland town,7225,2863,6619,2445,7225,6619,5137,4947,1606,1473,31,24,84,47,4,0,178,45,185,83
5103512,160,51,,,,,,Atkins CDP,1143,584,1138,571,1143,1138,1129,1126,2,0,1,1,0,0,0,0,1,6,10,5
5103528,160,51,,,,,,Atlantic CDP,862,419,,,862,,556,,282,,8,,5,,0,,0,,11,
5103608,160,51,,,,,,Augusta Springs CDP,257,122,,,257,,250,,0,,0,,2,,0,,2,,3,
5104088,160,51,,,,,,Bailey's Crossroads CDP,23643,9682,23166,8813,23643,23166,12109,11096,3599,2514,241,126,2458,2865,27,21,4046,4340,1163,2204
5104856,160,51,,,,,,Baskerville CDP,128,60,,,128,,89,,37,,0,,0,,0,,0,,2,
5104872,160,51,,,,,,Bassett CDP,1100,607,1338,601,1100,1338,762,976,230,323,0,0,3,1,0,1,81,24,24,13
5104920,160,51,,,,,,Basye CDP,1253,1646,,,1253,,1189,,17,,5,,2,,0,,4,,36,
5105200,160,51,,,,,,Bayside CDP,120,71,,,120,,5,,114,,0,,0,,0,,1,,0,
5105336,160,51,,,,,,Bealeton CDP,4435,1549,,,4435,,3421,,512,,18,,56,,5,,249,,174,
5105544,160,51,,,,,,Bedford city,6222,2920,6299,2702,6222,6299,4755,4745,1256,1410,13,15,41,36,1,5,37,15,119,73
5105928,160,51,,,,,,Belle Haven CDP,6518,3240,6269,3220,6518,6269,5400,5402,456,431,14,16,228,142,10,4,229,121,181,153
5106216,160,51,,,,,,Bellwood CDP,6352,2705,5974,2448,6352,5974,3637,4132,1662,1214,58,48,154,153,16,2,607,260,218,165
5106275,160,51,,,,,,Belmont CDP,5966,1870,,,5966,,4108,,363,,17,,1202,,1,,59,,216,
5106336,160,51,,,,,,Belmont Estates CDP,1263,507,,,1263,,1230,,10,,0,,6,,0,,5,,12,
5106424,160,51,,,,,,Belspring CDP,256,121,,,256,,252,,1,,0,,1,,0,,1,,1,
5106512,160,51,,,,,,Belview CDP,891,436,,,891,,834,,34,,1,,3,,0,,5,,14,
5106712,160,51,,,,,,Benns Church CDP,872,361,,,872,,502,,306,,2,,13,,0,,20,,29,
5106728,160,51,,,,,,Bensley CDP,5819,2381,5435,2368,5819,5435,2637,3388,1433,1322,54,35,116,239,5,6,1344,274,230,171
5106968,160,51,,,,,,Berryville town,4185,1804,2963,1312,4185,2963,3549,2505,361,403,24,3,57,17,2,0,77,4,115,31
5107160,160,51,,,,,,Bethel Manor CDP,3792,1222,,,3792,,2492,,726,,32,,82,,16,,144,,300,
5107400,160,51,,,,,,Big Island CDP,303,153,,,303,,289,,12,,1,,0,,0,,0,,1,
5107480,160,51,,,,,,Big Stone Gap town,5614,2052,4856,2197,5614,4856,4449,4549,1017,214,10,7,16,22,1,1,28,18,93,45
5107784,160,51,,,,,,Blacksburg town,42620,15342,39573,13732,42620,39573,34588,33394,1818,1738,87,45,4518,3087,17,22,380,355,1212,932
5107944,160,51,,,,,,Blairs CDP,916,413,,,916,,647,,240,,0,,3,,0,,13,,13,
5107976,160,51,,,,,,Bland CDP,409,222,,,409,,405,,0,,0,,0,,0,,1,,3,
5108120,160,51,,,,,,Bloxom town,387,184,395,175,387,395,297,321,50,26,1,2,0,0,0,0,34,40,5,6
5108200,160,51,,,,,,Blue Ridge CDP,3084,1269,3188,1219,3084,3188,2954,3039,79,91,7,7,12,16,0,0,5,2,27,33
5108264,160,51,,,,,,Blue Ridge Shores CDP,813,566,,,813,,750,,42,,1,,5,,0,,1,,14,
5108320,160,51,,,,,,Bobtown CDP,211,143,,,211,,170,,31,,0,,0,,4,,4,,2,
5108675,160,51,,,,,,Boston CDP,504,229,,,504,,49,,448,,0,,0,,0,,6,,1,
5108708,160,51,,,,,,Boswell's Corner CDP,1375,522,,,1375,,858,,346,,9,,38,,3,,53,,68,
5108984,160,51,,,,,,Boyce town,589,252,426,168,589,426,512,368,37,50,2,5,7,1,0,0,8,0,23,2
5109064,160,51,,,,,,Bracey CDP,1554,2072,,,1554,,1324,,180,,6,,20,,1,,1,,22,
5109188,160,51,,,,,,Brambleton CDP,9845,3265,,,9845,,5966,,665,,20,,2547,,7,,158,,482,
5109208,160,51,,,,,,Branchville town,114,52,123,56,114,123,85,83,28,38,0,0,0,1,0,0,0,0,1,1
5109248,160,51,,,,,,Brandermill CDP,13173,5747,,,13173,,10883,,1417,,35,,448,,7,,90,,293,
5109656,160,51,,,,,,Bridgewater town,5644,2120,5203,1850,5644,5203,5202,4952,138,129,15,6,26,22,1,0,154,49,108,45
5109752,160,51,,,,,,Brightwood CDP,1001,409,,,1001,,911,,49,,1,,2,,0,,4,,34,
5109816,160,51,,,,,,Bristol city,17835,8831,17367,8469,17835,17367,16214,16072,1009,967,52,43,122,64,4,2,92,32,342,187
5109952,160,51,,,,,,Broadlands CDP,12313,3823,,,12313,,8798,,696,,28,,2095,,5,,188,,503,
5110040,160,51,,,,,,Broadway town,3691,1560,2192,976,3691,2192,3424,2131,37,14,22,5,24,15,0,0,119,13,65,14
5110072,160,51,,,,,,Brodnax town,298,144,317,139,298,317,159,163,129,154,0,0,0,0,0,0,6,0,4,0
